,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Player,Age,Tm,Pos,PTS,G,A,S,S,S%,SAtt.,Thru%,CF% rel,PDO,oZS%,dZS%,ATOI,TOI,TOI,GP,G,EV,PP,A,EV,PP,PPG/G,PPA/G,PTS
Mikael Samuelsson,34,VAN,RW,0.67,0.24,0.43,2.87,215,8.4,382,56.3,3.1,100.5,49.5,50.5,16:38,1247,2:29,75,18,13,5,32,18,14,0.067,0.187,50
Milan Hejduk,34,COL,RW,0.79,0.31,0.48,2.39,170,12.9,254,66.9,-1.9,97.6,54.3,45.7,17:55,1273,3:02,71,22,12,10,34,20,14,0.141,0.197,56
Patrik Elias,34,NJD,LW,0.77,0.26,0.51,2.52,204,10.3,349,58.5,6.5,97.6,51.8,48.2,18:38,1510,2:45,81,21,13,7,41,28,13,0.086,0.16,62
Radek Martinek,34,NYI,D,0.25,0.05,0.2,1.52,97,3.1,210,46.2,-4.8,99.1,44,56,20:51,1334,0:33,64,3,2,1,13,13,0,0.016,0,16
Ryan Johnson,34,CHI,C,0.18,0.03,0.15,0.74,25,4,36,69.4,-7,98.2,32.5,67.5,10:21,352,0:01,34,1,1,0,5,5,0,0,0,6
Ryan Smyth,34,LAK,LW,0.57,0.28,0.29,2.38,195,11.8,307,63.5,3.2,99.9,51.5,48.5,18:02,1479,2:57,82,23,14,9,24,19,5,0.11,0.061,47
Shane Doan,34,PHX,RW,0.83,0.28,0.56,3.07,221,9,401,54.9,2,101.1,49.9,50.1,19:17,1389,3:45,72,20,9,11,40,30,10,0.153,0.139,60
Steve Reinprecht,34,FLA,C,0.34,0.14,0.21,1.07,31,12.9,49,63.3,0,98,54.1,45.9,11:46,341,0:29,29,4,3,1,6,6,0,0.034,0,10
Wade Belak,34,NSH,D,0,0,0,0.27,4,0,5,80,-19.5,97.1,48.1,51.9,3:47,57,0:00,15,0,0,0,0,0,0,0,0,0
Andreas Lilja,35,ANA,D,0.13,0.02,0.12,0.6,31,3.2,60,51.7,-7.6,97.4,50.3,49.7,17:26,907,0:01,52,1,1,0,6,6,0,0,0,7
Andy Sutton,35,ANA,D,0.1,0,0.1,0.79,31,0,51,60.8,-4.4,101.1,53.5,46.5,14:45,575,0:05,39,0,0,0,4,1,1,0,0.026,4
Brendan Morrison,35,CGY,C,0.65,0.14,0.52,1.35,89,10.1,149,59.7,-4,102.8,49.3,50.7,16:42,1102,2:19,66,9,5,3,34,24,9,0.045,0.136,43
Bryan McCabe,35,TOT,D,0.42,0.1,0.31,1.82,122,5.7,250,48.8,-2.5,101.1,55.4,44.6,19:34,1311,3:37,67,7,3,4,21,12,9,0.06,0.134,28
Ethan Moreau,35,CBJ,LW,0.16,0.03,0.14,1.51,56,1.8,99,56.6,-10.1,96.6,39.1,60.9,12:29,462,0:04,37,1,1,0,5,4,1,0,0.027,6
Francis Bouillon,35,NSH,D,0.23,0.02,0.2,1.07,47,2.1,108,43.5,-8.6,101.3,43.4,56.6,20:14,890,1:16,44,1,1,0,9,7,2,0,0.045,10
Hal Gill,35,MTL,D,0.12,0.03,0.09,0.83,62,3.2,135,45.9,-3.8,98.5,45.9,54.1,19:49,1486,0:03,75,2,2,0,7,6,0,0,0,9
Jamie Langenbrunner,35,TOT,RW,0.46,0.13,0.33,2.19,153,5.9,272,56.3,1.5,97.1,51.3,48.7,17:26,1221,2:25,70,9,8,1,23,17,6,0.014,0.086,32
Jarkko Ruutu,35,TOT,LW,0.16,0.04,0.12,0.9,66,4.5,122,54.1,1.5,98.5,54.3,45.7,11:22,830,0:03,73,3,3,0,9,8,0,0,0,12
Jason Strudwick,35,EDM,D,0.05,0,0.05,0.21,9,0,36,25,-9.3,96.4,53.4,46.6,15:04,648,0:00,43,0,0,0,2,2,0,0,0,2
Kimmo Timonen,35,PHI,D,0.45,0.07,0.38,1.79,147,4.1,290,50.7,0.1,99.8,50,50,22:28,1843,3:19,82,6,3,1,31,16,15,0.012,0.183,37
Martin St. Louis*,35,TBL,RW,1.21,0.38,0.83,3.1,254,12.2,450,56.4,-2.3,101.5,48.2,51.8,20:59,1720,4:31,82,31,27,4,68,31,37,0.049,0.451,99
Niclas Wallin,35,SJS,D,0.11,0.04,0.07,1.16,86,3.5,174,49.4,-5.8,99.3,49.4,50.6,15:50,1172,0:07,74,3,3,0,5,5,0,0,0,8
Todd Bertuzzi,35,DET,RW,0.56,0.2,0.36,1.7,138,11.6,239,57.7,-5.9,99.1,51,49,15:57,1293,1:35,81,16,14,2,29,24,5,0.025,0.062,45
Todd White,35,NYR,C,0.11,0.06,0.06,0.61,11,9.1,19,57.9,-13.7,97.9,47.9,52.1,7:41,138,0:26,18,1,1,0,1,0,0,0,0,2
Vinny Prospal,35,NYR,C,0.79,0.31,0.48,2.1,61,14.8,90,67.8,-7.6,103,67.5,32.5,15:20,445,3:08,29,9,7,2,14,6,8,0.069,0.276,23
Chris Pronger*,36,PHI,D,0.5,0.08,0.42,2.24,112,3.6,242,46.3,-2.7,100.6,50.6,49.4,22:30,1125,3:42,50,4,1,3,21,9,11,0.06,0.22,25
Craig Rivet,36,TOT,D,0.11,0.05,0.05,0.89,33,6.1,74,44.6,-3.7,95.1,56.5,43.5,14:41,543,0:57,37,2,2,0,2,2,0,0,0,4
Fredrik Modin,36,TOT,LW,0.25,0.18,0.08,1.35,54,13,84,61.9,-2.7,95.9,49.5,50.5,11:36,464,0:28,40,7,6,0,3,3,0,0,0,10
Jamal Mayers,36,SJS,RW,0.18,0.04,0.14,0.79,62,4.8,107,57.9,-9.3,101.4,54.8,45.2,8:53,693,0:01,78,3,3,0,11,11,0,0,0,14
Jaroslav Spacek,36,MTL,D,0.27,0.02,0.25,1.1,65,1.5,171,38,-2.1,101.5,49.8,50.2,19:15,1135,1:20,59,1,1,0,15,11,3,0,0.051,16
