,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Player,Age,Tm,Pos,PTS,G,A,S,S,S%,SAtt.,Thru%,CF% rel,PDO,oZS%,dZS%,ATOI,TOI,TOI,GP,G,EV,PP,A,EV,PP,PPG/G,PPA/G,PTS
Dale Weise,27,TOT,RW,0.38,0.2,0.18,1.92,136,10.3,220,61.8,0.7,100.4,57.5,42.5,13:25,11:49,1:24,71,14,11,3,13,10,3,0.042,0.042,27
Jeremy Welsh,27,STL,C,0,0,0,0,0,,1,0,19.7,100,33.3,66.7,8:19,8:01,0:17,2,0,0,0,0,0,0,0,0,0
Ryan White,27,PHI,C,0.22,0.15,0.07,1.21,88,12.5,173,51.4,-4.7,99,51.4,48.6,12:34,10:37,0:58,73,11,8,3,5,5,0,0.041,0,16
Tommy Wingels,27,SJS,C,0.26,0.1,0.16,1.63,111,6.3,177,62.7,-4,96.8,43.8,56.2,13:38,11:49,0:41,68,7,6,1,11,7,2,0.015,0.029,18
Justin Abdelkader,28,DET,LW,0.51,0.23,0.28,1.89,155,12.3,239,64.9,-2.9,98.3,58.7,41.3,18:26,13:56,2:53,82,19,13,6,23,16,7,0.073,0.085,42
Nicklas Backstrom,28,WSH,C,0.93,0.27,0.67,1.72,129,15.5,222,58.1,1.4,102.8,49.2,50.8,19:11,15:12,3:04,75,20,17,3,50,23,27,0.04,0.36,70
Jordie Benn,28,DAL,D,0.19,0.05,0.14,0.91,58,5.2,123,47.2,-4.6,100,54.6,45.4,15:39,13:26,0:15,64,3,2,1,9,8,0,0.016,0,12
Derick Brassard,28,NYR,C,0.73,0.34,0.39,2.28,182,14.8,307,59.3,0.8,103.1,58.8,41.2,17:53,15:01,2:41,80,27,19,8,31,17,14,0.1,0.175,58
Justin Braun,28,SJS,D,0.29,0.05,0.24,1.43,114,3.5,244,46.7,-1.2,100.5,42.8,57.2,20:34,17:53,0:40,80,4,4,0,19,18,1,0,0.013,23
Taylor Chorney,28,WSH,D,0.11,0.02,0.09,0.51,28,3.6,78,35.9,-2.2,103.4,66.6,33.4,13:11,11:59,0:01,55,1,1,0,5,5,0,0,0,6
Rich Clune,28,TOR,LW,0.21,0,0.21,0.53,10,0,17,58.8,-0.8,100.6,44,56,8:06,7:54,0:05,19,0,0,0,4,4,0,0,0,4
Cal Clutterbuck,28,NYI,RW,0.3,0.19,0.1,1.04,80,18.8,151,53,-1.4,102.1,40,60,11:55,9:49,0:06,77,15,13,0,8,7,0,0,0,23
Andrew Cogliano,28,ANA,LW,0.39,0.11,0.28,1.6,131,6.9,231,56.7,-0.3,98.9,40.4,59.6,14:26,12:26,0:05,82,9,7,0,23,22,0,0,0,32
Sidney Crosby,28,PIT,C,1.06,0.45,0.61,3.1,248,14.5,446,55.6,3.3,101.2,54.7,45.3,20:28,16:21,3:42,80,36,26,10,49,35,14,0.125,0.175,85
Steve Downie,28,ARI,RW,0.23,0.12,0.12,0.85,22,13.6,35,60,-0.7,102.3,39.3,60.7,9:00,8:45,0:16,26,3,3,0,3,3,0,0,0,6
Mark Fayne,28,EDM,D,0.1,0.03,0.07,0.88,61,3.3,134,45.5,-0.2,99.3,43.3,56.7,16:43,15:02,0:01,69,2,2,0,5,4,0,0,0,7
Nick Foligno,28,CBJ,LW,0.51,0.17,0.35,2.07,149,8.1,244,61.1,5.8,97.5,51.6,48.4,16:54,14:16,2:04,72,12,12,0,25,12,13,0,0.181,37
Justin Fontaine,28,MIN,RW,0.27,0.08,0.18,0.9,54,9.3,96,56.3,-4.6,101.1,44.7,55.3,11:51,10:33,0:08,60,5,5,0,11,10,0,0,0,16
Cody Franson,28,BUF,D,0.29,0.07,0.22,1.56,92,4.3,189,48.7,2.9,98.9,50.2,49.8,16:50,13:57,2:08,59,4,3,1,13,7,6,0.017,0.102,17
Nathan Gerbe,28,CAR,LW,0.15,0.06,0.09,1.55,73,4.1,140,52.1,-3,95.3,46.7,53.3,13:28,11:22,1:02,47,3,3,0,4,3,1,0,0.021,7
